experiment,participantid,itemid,itemtype,strategy_seen,strategy_text,tag_ann1,subtag_ann1,tag_ann2,subtag_ann2,agree_tag,agree_subtag,tag_both,subtag_both
2,103,33,target simple,2,Because it shows the monster and the images are a monster and a scarf and the other monster is wearing a blue hat which isn’t available,other_reason,misunderstood_instructions,other_reason,misunderstood_instructions,1,1,other_reason,misunderstood_instructions
4,185,33,target simple,2,wasnt blue as there was no blue colour choice,other_reason,misunderstood_instructions,other_reason,misunderstood_instructions,1,1,other_reason,misunderstood_instructions
4,213,8,target simple,1,because there is no option choice for the blue circle,other_reason,misunderstood_instructions,other_reason,misunderstood_instructions,1,1,other_reason,misunderstood_instructions
4,224,25,target complex,1,They couldn't select square. So if they wanted to call red-circle they could have just chosen red.,correct_reasoning,,other_reason,misunderstood_instructions,0,0,other_reason,misunderstood_instructions
1,32,30,target simple,1,There purple monster has a scarf and this was not a choice available to the participant.,other_reason,misunderstood_instructions,other_reason,misunderstood_instructions,1,1,other_reason,misunderstood_instructions
2,61,12,target simple,2,Because the purple monster wasnt an option for the previous participant,other_reason,misunderstood_instructions,other_reason,misunderstood_instructions,1,1,other_reason,misunderstood_instructions
2,91,33,target simple,1,BECAUSE OUT OF THE TWO IMAGES WE HAVE THIS WITH A RED CAP AND FROM THE LIST OF IMAGES WE DON'T HAVE A BLUE CAP SO THAT'S WHY I WENT WITH THE ONE WITH   THE SCARF,unclear,,other_reason,misunderstood_instructions,0,0,other_reason,misunderstood_instructions
2,93,30,target simple,2,"The previous participant chose a robot so I chose a robot as well, and he/she also had  a scarf to choose from so that is why I chose the robot with the scarf, not that it actually matters.",guess,,other_reason,misunderstood_instructions,0,0,other_reason,misunderstood_instructions
1,11,57,target complex,2,Again I think the previous participant is encouraging me to choose the unique image as it is impossible to choose between the other two.,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,11,36,target simple,1,I think the previous participant is telling me to choose the only image that is different to the message shown.,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
2,115,43,target complex,1,because in this the unique part is the scarf. In others caps are common,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
2,115,33,target simple,2,In this pictures caps are common but scarf is not.,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
3,122,15,target complex,2,Because the blue hat differentiates between the 2 green monsters,unclear,,other_reason,odd_one_out,0,0,other_reason,odd_one_out
3,135,17,target complex,1,"because there were 2 purple monsters and one robot, so I picked the robot as being odd one out",other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
3,135,40,target simple,2,Because he was the only one not wearing a blue hat,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
3,144,51,target complex,2,"Same creature, only one without red hat",unclear,,other_reason,odd_one_out,0,0,other_reason,odd_one_out
1,15,7,target complex,1,because it is different than the other 2 wearing the blue hats,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
3,155,43,target complex,2,The creature is the only one who is not wearing a red cap.,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
3,157,24,target complex,2,odd one,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
3,165,2,target complex,2,if the previous participant could only pick 1 thing which is a red cap and the 3rd monster isn't wearing a cap. its a way of disguising the 3rd monster,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
3,165,40,target simple,1,if I could only choose 1 and the other 2 had blue caps then the previous participant must have meant me to pick the one without a blue cap,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
4,190,17,target complex,1,"There's no way to actually know because there are two circles, so I just picked the circle that was a different color as it is unique.",guess,,other_reason,odd_one_out,0,0,other_reason,odd_one_out
4,192,51,target complex,1,IT IS A CIRCLE BUT ONLY ONE THAT IS RED,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,25,51,target complex,2,Pink creature and only blue hat,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,33,63,target complex,2,it is the only one with different colour of cap,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,42,15,target complex,2,Had a different colour hat,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,45,2,target complex,2,He picked a hat instead of figures and this was the only one that was different and without a hat.,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,45,59,target simple,1,It was the only one without a hat.,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,46,17,target complex,2,he the only guy in the red cap,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
1,49,43,target complex,2,the image stands because of the blue hat that's different from the rest.,other_reason,salience,other_reason,odd_one_out,1,0,other_reason,odd_one_out
1,51,51,target complex,1,because he has a blue hat on.,other_reason,odd_one_out,unclear,,0,0,other_reason,odd_one_out
1,55,28,target simple,2,because this monster is the same as what the previous participant said and it was the only one without a hat/cap,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
2,61,25,target complex,1,Because the other two have the scarf in common,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
2,63,25,target complex,1,no scarf,other_reason,odd_one_out,other_reason,odd_one_out,1,1,other_reason,odd_one_out
2,99,25,target complex,2,It was a robot not wearing a scarf.,unclear,,other_reason,odd_one_out,0,0,other_reason,odd_one_out
1,1,17,target complex,1,They picked the purple monster so I guessed it was a purple monster. If they had picked blue hat it would have been out of the two with blue hats so I assumed the one I was selected was correct.,other_reason,odd_one_out,guess,,0,0,other_reason,other
3,121,59,target simple,2,Because I think the participate would have selected the hat if it was that picture.,correct_reasoning,,other_reason,other,0,0,other_reason,other
3,124,15,target complex,2,i feel blue is a stronger colour and would have been to obvious,other_reason,other,other_reason,other,1,1,other_reason,other
3,151,51,target complex,1,"because there are two red caps, so you could not have chosen the red cap for an indicator",unclear,,unclear,,1,1,other_reason,other
3,161,43,target complex,1,"there are 2 characters with red hats, but only 1 purple monster",unclear,,other_reason,other,0,0,other_reason,other
3,167,57,target complex,2,"Because the participant didn’t choose the majority hat, so it must be the minority.",unclear,,other_reason,odd_one_out,0,0,other_reason,other
3,167,28,target simple,1,"Because the participant did not choose hats, like the other two are wearing.",correct_reasoning,,other_reason,visual_resemblance,0,0,other_reason,other
1,17,43,target complex,1,"If it was one of the other images, why didn't they pick the hat?",unclear,,unclear,,1,1,other_reason,other
4,207,15,target complex,2,Triangle and there are 2 green,unclear,,other_reason,other,0,0,other_reason,other
4,216,2,target complex,2,I think they meant to indicate the green circle by clicking on the green paint otherwise they could have just clicked onthe circle,other_reason,other,other_reason,other,1,1,other_reason,other
4,234,25,target complex,1,because there were 2 red,unclear,,other_reason,other,0,0,other_reason,other
1,37,5,target complex,2,I won't try fall for the same trick twice. The opponent would clearly try confuse me in either option,other_reason,other,unclear,,0,0,other_reason,other
1,37,12,target simple,1,The cap was in the reverse position and I thought the opponent would try to confuse me,other_reason,other,other_reason,visual resemblance,1,0,other_reason,other
1,43,51,target complex,2,"red hat could have been an option. there are no robots to choose from, which would have been easy.so no red hat, but yes monster",unclear,,other_reason,other,0,0,other_reason,other
1,53,17,target complex,2,The didn't pick a hat colour so I assumed they wanted me to pick the monster with a hat in common with another creature,correct_reasoning,,other_reason,salience,0,0,other_reason,other
1,57,63,target complex,2,i think they wouldve picked the blue hat,unclear,,other_reason,other,0,0,other_reason,other
2,70,2,target complex,1,"because there is two green monsters, only one wearing a hat so i went with that",unclear,,other_reason,salience,0,0,other_reason,other
3,159,63,target complex,1,the blue cap is more attractive,other_reason,preference,other_reason,preference,1,1,other_reason,preference
3,164,42,target simple,1,I like the look of it.,other_reason,preference,other_reason,preference,1,1,other_reason,preference
1,35,15,target complex,2,Because i like blue and the monster matches the monster on top,guess,,other_reason,preference,0,0,other_reason,preference
1,44,63,target complex,1,"The monster looks the same as the monster the previous participant chose, and the blue cap because blue is more neutral and less danger compared to red cap colour",other_reason,preference,other_reason,salience,1,0,other_reason,preference
2,90,57,target complex,2,this  robot seems  cool,other_reason,preference,other_reason,preference,1,1,other_reason,preference
2,90,12,target simple,1,I prefered this creature,other_reason,preference,other_reason,preference,1,1,other_reason,preference
2,108,7,target complex,2,This creature seems more unique with the scarf.,other_reason,preference,other_reason,salience,1,0,other_reason,salience
3,124,27,target simple,1,because it is the biggest  picture with a red cap,other_reason,salience,other_reason,salience,1,1,other_reason,salience
1,26,24,target complex,1,Just stood out to me more,other_reason,salience,other_reason,preference,1,0,other_reason,salience
1,41,24,target complex,2,He is fat,other_reason,salience,other_reason,salience,1,1,other_reason,salience
1,44,12,target simple,2,"Creature is likely to be chosen than a robot, just for fun and adrenaline rush",unclear,,other_reason,preference,0,0,other_reason,salience
1,49,30,target simple,1,the image stands out from the rest because of the scarf.,other_reason,salience,other_reason,salience,1,1,other_reason,salience
2,66,36,target simple,2,The scarf stands out as prominent,other_reason,salience,other_reason,salience,1,1,other_reason,salience
2,80,7,target complex,2,"because at first glance, it is the green monster, the red hat guided my eyes to that figure over the figure on the left with the scarf",other_reason,salience,other_reason,salience,1,1,other_reason,salience
1,31,2,target complex,1,It had a red cap facing right,other_reason,visual_resemblance,other_reason,visual resemblance,1,1,other_reason,visual_resemblance
1,33,18,target simple,1,the cap is facing the same direction,other_reason,visual_resemblance,other_reason,visual resemblance,1,1,other_reason,visual_resemblance
1,38,5,target complex,1,The direction of the cap influenced my decision,other_reason,visual_resemblance,other_reason,visual resemblance,1,1,other_reason,visual_resemblance
1,40,42,target simple,1,Because the previous participant has the purple creature with green hair,other_reason,visual_resemblance,other_reason,visual resemblance,1,1,other_reason,visual_resemblance
1,46,8,target simple,1,because you can see the eyes,other_reason,visual_resemblance,other_reason,visual resemblance,1,1,other_reason,visual_resemblance
3,119,30,target simple,1,it is the closest to the one the participant picked,other_reason,visual_resemblance,unclear,,0,0,other_reason,visual_resemblance
