"participantid","itemid","itemtype","message","target","competitor","distractor","id","answer","presentation_order","answer_which","targetpos","answer_order","correct","trialid","strategy_seen","strategy_answer","strategy_answer_which","strategy_answer_order","strategy_correct","strategy_text","experiment"
1,1,"filler type b","rh","gm_rh","pm_sc","pm_bh",1044077,"gm_rh","pm_sc,gm_rh,pm_bh","target",2,2,"True",25,NA,"","",NA,"","",1
1,2,"target complex","rh","gm_rh","pm_rh","gm_sc",1044105,"gm_rh","pm_rh,gm_rh,gm_sc","target",2,2,"True",53,NA,"","",NA,"","",1
1,3,"filler ambiguous","rh","pm_rh","pm_rh","gm_bh",1044114,"pm_rh","gm_bh,pm_rh,pm_rh","target",3,3,"True",62,NA,"","",NA,"","",1
1,4,"filler type a","rh","pm_rh","pm_sc","gm_bh",1044101,"pm_rh","pm_rh,gm_bh,pm_sc","target",1,1,"True",49,NA,"","",NA,"","",1
1,5,"target complex","bh","pm_bh","gm_bh","pm_sc",1044100,"gm_bh","pm_sc,pm_bh,gm_bh","competitor",2,3,"False",48,NA,"","",NA,"","",1
1,6,"filler unambiguous","rh","pm_rh","gm_sc","ro_bh",1044108,"pm_rh","gm_sc,pm_rh,ro_bh","target",2,2,"True",56,NA,"","",NA,"","",1
1,7,"target complex","gm","gm_bh","gm_rh","ro_bh",1044066,"gm_rh","gm_rh,gm_bh,ro_bh","competitor",2,1,"False",14,NA,"","",NA,"","",1
1,8,"target simple","pm","pm_sc","pm_rh","gm_bh",1044058,"pm_sc","pm_rh,pm_sc,gm_bh","target",2,2,"True",6,NA,"","",NA,"","",1
1,9,"filler ambiguous","gm","gm_bh","gm_bh","pm_sc",1044111,"gm_bh","gm_bh,gm_bh,pm_sc","target",2,2,"True",59,NA,"","",NA,"","",1
1,10,"filler type c","rh","pm_rh","pm_bh","ro_bh",1044088,"pm_rh","ro_bh,pm_bh,pm_rh","target",3,3,"True",36,NA,"","",NA,"","",1
1,11,"filler type c","rh","gm_rh","gm_bh","ro_bh",1044106,"gm_rh","gm_bh,ro_bh,gm_rh","target",3,3,"True",54,NA,"","",NA,"","",1
1,12,"target simple","bh","ro_bh","gm_bh","pm_rh",1044107,"ro_bh","pm_rh,ro_bh,gm_bh","target",2,2,"True",55,NA,"","",NA,"","",1
1,13,"filler type a","bh","pm_bh","pm_sc","gm_rh",1044060,"pm_bh","pm_bh,pm_sc,gm_rh","target",1,1,"True",8,NA,"","",NA,"","",1
1,14,"filler unambiguous","rh","gm_rh","pm_bh","ro_sc",1044084,"gm_rh","pm_bh,gm_rh,ro_sc","target",2,2,"True",32,NA,"","",NA,"","",1
1,15,"target complex","gm","gm_rh","gm_bh","ro_rh",1044068,"gm_bh","gm_bh,ro_rh,gm_rh","competitor",3,1,"False",16,NA,"","",NA,"","",1
1,16,"filler type c","bh","gm_bh","gm_rh","ro_rh",1044102,"gm_bh","gm_bh,ro_rh,gm_rh","target",1,1,"True",50,NA,"","",NA,"","",1
1,17,"target complex","pm","pm_bh","pm_rh","ro_bh",1044079,"pm_bh","pm_bh,ro_bh,pm_rh","target",1,1,"True",27,1,"pm_rh","competitor",3,"False","They picked the purple monster so I guessed it was a purple monster. If they had picked blue hat it would have been out of the two with blue hats so I assumed the one I was selected was correct.",1
1,18,"target simple","bh","ro_bh","pm_bh","gm_rh",1044094,"ro_bh","gm_rh,ro_bh,pm_bh","target",2,2,"True",42,2,"ro_bh","target",2,"True","They couldnt select robot so picking blue hat suggested blue hat robot to me. If it was blue hat purple alien they would have purple alien.",1
1,19,"filler unambiguous","bh","ro_bh","gm_sc","pm_rh",1044069,"ro_bh","pm_rh,gm_sc,ro_bh","target",3,3,"True",17,NA,"","",NA,"","",1
1,20,"filler unambiguous","bh","ro_sc","gm_rh","pm_bh",1044065,"pm_bh","gm_rh,pm_bh,ro_sc","target",2,2,"True",13,NA,"","",NA,"","",1
1,21,"filler type c","gm","gm_bh","pm_bh","pm_sc",1044093,"gm_bh","pm_bh,pm_sc,gm_bh","target",3,3,"True",41,NA,"","",NA,"","",1
1,22,"filler type c","rh","pm_rh","pm_bh","ro_bh",1044055,"pm_rh","pm_rh,ro_bh,pm_bh","target",1,1,"True",3,NA,"","",NA,"","",1
1,23,"filler unambiguous","pm","pm_rh","gm_bh","ro_sc",1044067,"pm_rh","gm_bh,ro_sc,pm_rh","target",3,3,"True",15,NA,"","",NA,"","",1
1,24,"target complex","bh","pm_bh","gm_bh","pm_sc",1044076,"pm_bh","pm_sc,pm_bh,gm_bh","target",2,2,"True",24,NA,"","",NA,"","",1
1,25,"target complex","pm","pm_bh","pm_rh","ro_bh",1044081,"pm_rh","pm_rh,ro_bh,pm_bh","competitor",3,1,"False",29,NA,"","",NA,"","",1
1,26,"target simple","rh","ro_rh","gm_rh","pm_bh",1044118,"ro_rh","gm_rh,pm_bh,ro_rh","target",3,3,"True",66,NA,"","",NA,"","",1
1,27,"target simple","rh","ro_rh","gm_rh","pm_bh",1044115,"ro_rh","ro_rh,gm_rh,pm_bh","target",1,1,"True",63,NA,"","",NA,"","",1
